Food group,Variable,Value,Commodity
Grains: whole (oz) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.76,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,At home - 2015–16,0.84,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,At home - 2015–16,3.79,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,At home - 2015–16,2.51,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,At home - 2015–16,4.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,At home - 2015–16,3.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,At home - 2015–16,3.62,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,At home - 2015–16,3.84,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,At home - 2015–16,3.94,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-Total-2015–16,4.89,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-Total-2015–16,5.72,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-Total-2015–16,5.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,2.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,4.47,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,5.45,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,5.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,Away from home-Total-2015–16,12.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,Away from home-Total-2015–16,12.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,Away from home-Total-2015–16,13.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,7.69,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,10.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,11.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,13.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,Away from home-Total-2015–16,10.81,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,Away from home-Total-2015–16,9.57,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,Away from home-Total-2015–16,12.23,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,7.37,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,9.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,9.88,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,12.44,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,Away from home-Total-2015–16,0.48,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,Away from home-Total-2015–16,0.68,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,Away from home-Total-2015–16,0.46,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,0.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,0.47,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
